Country,Region-Geo,Continent,Region,Year,Leap Year,ChildrenPerWoman,CO2Emissions,DemocracyScore,IncomePerPerson,Incomeshareofpoorest10pct,Incomeshareofrichest10pct,Infantmortality,Inflation,Internetusers,LifeExpectancy,Literacyrateadulttotal,Literacyrateyouthtotal,Longtermunemploymentrate,Medianage,MedicalDoctors,Murder,Murderedmen,Murderedwomen,Oilconsumptionperperson,Populationgrowth,Populationtotal,Populationdensity,Poverty,Ratioofgirlstoboysinprimaryandsecondaryeducation,Renewablewater,Residentialelectricityuseperperson,Suicideage15to29,Taxrevenue,Teenfertilityrate,TotalGDPUS,TotalhealthspendingperpersonUS,Tradebalance,Trafficdeaths,UrbanpopulationTotal,Urbanpopulationgrowth,YearlyCO2emission
Afghanistan,Asia - Southern,Asia,South Asia,1952,[1952],7.671,0.01090342,-10,2338.335943,,,,,,27.448,,,,,,,,,,,8407148,12.893,,,,,,,,,,,,,,91.66666667
Albania,Europe - Southern,Europe,Europe & Central Asia,1952,[1952],6.071,0.294650131,-9,4803.168409,,,,,,54.876,,,,,,,,,,,1269302,44.153,,,,,,,,,,,,,,374
Algeria,Africa - Northern,Africa,Middle East & North Africa,1952,[1952],7.648,0.425993246,,7347.024556,,,,,,42.678,,,,,,,,,,,9140990,3.838,,,,,,,,,,,,,,3894
American Samoa,Oceania,Oceania,East Asia & Pacific,1952,[1952],,,,13799.49386,,,,,,,,,,,,,,,,,19525,98.116,,,,,,,,,,,,,,
Andorra,Europe - Southern,Europe,Europe & Central Asia,1952,[1952],,,,49618.60246,,,,,,,,,,,,,,,,,7247,15.485,,,,,,,,,,,,,,
Angola,Africa - Central,Africa,Sub-Saharan Africa,1952,[1952],6.98,0.07253909,,10561.83082,,,,,,29.804,,,,,,,,,,,4296534,3.446,,,,,,,,,,,,,,311.6666667
Anguilla,America - Central,Central and South America,America,1952,[1952],,,,11038.55257,,,,,,,,,,,,,,,,,5438,59.758,,,,,,,,,,,,,,
Antigua and Barbuda,America - Central,Central and South America,America,1952,[1952],4.496,,,7661.639427,,,,,,58.284,,,,,,,,,,,49906,112.91,,,,,,,,,,,,,,
Argentina,America - South,Central and South America,America,1952,[1952],3.157,2.022216299,-9,17733.94516,,,65,,,62.32,,,,,,,,,,,17865382,6.425,,,,,,,62.4,,,,,,,36127.66667
Armenia,Asia - Western,Asia,Europe & Central Asia,1952,[1952],4.492,,-9,4217.465954,,,,,,62.602,,,,,,,,,,,1419913,47.648,,,,,,,,,,,,,,
Aruba,America - Central,Central and South America,America,1952,[1952],5.695,,,8195.001555,,,,,,60.01,,,,,,,,,,,38966,216.478,,,,,,,,,,,,,,
Australia,Oceania,Oceania,East Asia & Pacific,1952,[1952],3.181,7.002081852,10,30118.78691,,,24.2,,,69.12,,,,,,1.461196,1.906272,0.9769186,,,8604679,1.112,,,,,7.058182,,39.3,,,,24.82943,,,60250.66667
Austria,Europe - Western,Europe,Europe & Central Asia,1952,[1952],2.061,3.188072669,10,18411.22948,,,52,,,66.8,,,,,,,,,,,6929474,82.633,,,,,,,33.56,,,,,,,22091.66667
Azerbaijan,Asia - Western,Asia,Europe & Central Asia,1952,[1952],5.505,,-9,4322.023901,,,,,,57.754,,,,,,,,,,,3044695,35.158,,,,,,,,,,,,,,
Bahamas,America - Central,Central and South America,America,1952,[1952],4.021,0.945643898,,14695.80152,,,,,,59.824,,,,,,,,,,,81426,5.867,,,,,,,,,,,,,,77
Bahrain,Asia - Western,Asia,Middle East & North Africa,1952,[1952],6.973,10.76383952,,19734.16953,,,,,,42.459,,,,,,,,,,,119567,172.287,,,,,,,,,,,,,,1287
Bangladesh,Asia - Southern,Asia,South Asia,1952,[1952],6.331,,,1368.488343,,,225.4,,,43.376,,,,,,,,,,,40207573,279.223,,,,,,,,,,,,,,
Barbados,America - Central,Central and South America,America,1952,[1952],4.429,0.400752321,,7164.528737,,,145,,,56.95,,,,,,,,,,,219587,510.667,,,,,,,,,,,,,,88
Belarus,Europe - Eastern,Europe,Europe & Central Asia,1952,[1952],2.595,,-9,4831.544286,,,,,,65.692,,,,,,,,,,,7710974,37.143,,,,,,,,,,,,,,
Belgium,Europe - Western,Europe,Europe & Central Asia,1952,[1952],2.327,9.591278818,10,16686.21025,,,45,,,68,,,,,,,,,,,8710135,285.316,,,,,,,,,,,,,,83541.33333
Belize,America - Central,Central and South America,America,1952,[1952],6.66,0.35018305,,3515.530436,,,,,,55.644,,,,,,,,,,,73295,3.191,,,,,,,,,,,,,,25.66666667
Benin,Africa - Western,Africa,Sub-Saharan Africa,1952,[1952],5.829,,,2125.5044,,,202.9,,,33.467,,,,,,,,,,,2264492,20.107,,,,,,,,,,,,,,
Bermuda,America - North,North America,America,1952,[1952],,2.767367617,,33933.59479,,,,,,,,,,,,,,,,,38424,724.981,,,,,,,,,,,,,,106.3333333
Bhutan,Asia - Southern,Asia,South Asia,1952,[1952],6.67,,-10,1394.793827,,,,,,29.331,,,,,,,,,,,180287,3.836,,,,,,,,,,,,,,
Bolivia,America - South,Central and South America,America,1952,[1952],6.748,0.181740636,-4,5354.652694,,,,,,40.274,,,,,,,,,,,2824538,2.571,,,,,,,99.5,,,,,,,513.3333333
Bosnia and Herzegovina,Europe - Southern,Europe,Europe & Central Asia,1952,[1952],4.875,,-7,1947.06639,,,,,,53.165,,,,,,,,,,,2779107,54.283,,,,,,,,,,,,,,
Botswana,America - South,Africa,Sub-Saharan Africa,1952,[1952],6.492,,,1702.482281,,,,,,47.451,,,,,,,,,,,437177,0.752,,,,,,,,,,,,,,
Brazil,America - South,Central and South America,America,1952,[1952],6.149,0.434654088,5,4217.88871,,,,,,50.763,,,,,,,,,,,57422674,6.744,,,,,,,82.5,,,,,,,24959
British Virgin Islands,America - Central,Central and South America,America,1952,[1952],,,,4487.886038,,,,,,,,,,,,,,,,,7548,49.987,,,,,,,,,,,,,,
Brunei,Asia - South Eastern,Asia,East Asia & Pacific,1952,[1952],7.074,5.966138467,,73360.07212,,,,,,57.54,,,,,,,,,,,54083,9.381,,,,,,,,,,,,,,322.6666667
Bulgaria,Europe - Eastern,Europe,Europe & Central Asia,1952,[1952],2.552,1.288567777,-7,4888.573296,,,98,,,59.6,,,,,,,,,,,7324411,66.038,,,,,,,51.974,,,,,,,9438
Burkina Faso,Africa - Western,Africa,Sub-Saharan Africa,1952,[1952],6.089,,,1086.510483,,,176.2,,,30.707,,,,,,,,,,,4371948,15.956,,,,,,,,,,,,,,
Burundi,Africa - Eastern,Africa,Sub-Saharan Africa,1952,[1952],6.798,,,678.5929174,,,,,,38.881,,,,,,,,,,,2550737,91.641,,,,,,,,,,,,,,
Cambodia,Asia - South Eastern,Asia,East Asia & Pacific,1952,[1952],6.946,,,1761.781752,,,,,,40.161,,,,,,,,,,,4555803,25.165,,,,,,,,,,,,,,
Cameroon,Africa - Central,Africa,Sub-Saharan Africa,1952,[1952],5.49,0.060923987,,2345.33531,,,,,,38.358,,,,,,,,,,,4634190,9.747,,,,,,,,,,,,,,282.3333333
Canada,America - North,North America,America,1952,[1952],3.617,10.98830305,10,22734.32225,,,37.1,,,68.75,,,,,,1.019474,1.32977,0.69775,,,14518772,1.456,,,,,4.111656,,,,,,20.83004,,,159536.6667
Cayman Islands,America - Central,Central and South America,America,1952,[1952],,,,19426.42493,,,,,,,,,,,,,,,,,6247,23.663,,,,,,,,,,,,,,
Central African Republic,America - Central,Central and South America,Sub-Saharan Africa,1952,[1952],5.491,,,2142.621425,,,,,,33.233,,,,,,,,,,,1353471,,,,,,,,,,,,,,,
Chad,Africa - Central,Africa,Sub-Saharan Africa,1952,[1952],6.09,,,2357.331854,,,,,,35.932,,,,,,,,,,,2519184,1.962,,,,,,,,,,,,,,
Channel Islands,Europe - Northern,Europe,Europe & Central Asia,1952,[1952],2.042,,,,,,,,,69.09,,,,,,,,,,,103614,531.354,,,,,,,,,,,,,,
Chile,America - South,Central and South America,America,1952,[1952],4.884,1.679108786,2,7879.957578,,,138.2,,,54.669,,,,,,,,,,,6321806,8.355,,,,,,,80,,,,,,,10615
China,Asia - Eastern,Asia,East Asia & Pacific,1952,[1952],5.973,0.221810341,-8,1184.03034,,,,,,40.405,,,,,,,,,,,578489714,60.278,,,,,,,101,,,,,,,128315
Colombia,America - South,Central and South America,America,1952,[1952],6.759,0.680641569,-5,4288.230192,,,111,,,50.157,,,,,,,,,,,12697334,11.149,,,,,,,128,,,,,,,8642.333333
Comoros,Africa - Eastern,Africa,Sub-Saharan Africa,1952,[1952],5.934,,,2205.981871,,,,,,40.553,,,,,,,,,,,164338,88.306,,,,,,,,,,,,,,
Cook Islands,Oceania,Oceania,East Asia & Pacific,1952,[1952],,,,,,,125.2,,,,,,,,,,,,,,,66.263,,,,,,,,,,,,,,
Costa Rica,America - Central,Central and South America,America,1952,[1952],6.677,0.379084177,10,5254.018942,,,,,,56.971,,,,,,,,,,,1025278,20.064,,,,,,,119.2,,,,,,,388.6666667
Cote d'Ivoire,Africa - Western,Africa,Sub-Saharan Africa,1952,[1952],6.736,,,2777.189463,,,,,,31.858,,,,,,,,,,,2793262,8.662,,,,,,,,,,,,,,
Croatia,Europe - Southern,Europe,Europe & Central Asia,1952,[1952],2.797,,-7,6238.47304,,,,,,61.024,,,,,,,,,,,3900723,68.993,,,,,,,,,,,,,,
Cuba,America - Central,Central and South America,America,1952,[1952],4.218,1.017943102,0,11173.07756,,,38,,,59.107,,,,,,,,,,,6177490,55.723,,,,,,,66.8,,,,,,,6288.333333
Cyprus,Asia - Western,Asia,Europe & Central Asia,1952,[1952],3.727,0.622415921,,6310.882375,,,,,,66.518,,,,,,,,,,,506628,54.765,,,,,,,,,,,,,,315.3333333
Czech Republic,Europe - Eastern,Europe,Europe & Central Asia,1952,[1952],2.711,,-7,13752.2805,,,,,,66.87,,,,,,,,,,,9036508,,,,,,,,48.078,,,,,,,
Denmark,Europe - Northern,Europe,Europe & Central Asia,1952,[1952],2.535,5.275271816,10,18071.33163,,,27.9,,,70.78,,,,,,0.8512123,0.8936507,0.8058109,,,4344863,100.823,,,,,13.66763,,40.9,,,,10.01406,,,22920.33333
Djibouti,Africa - Eastern,Africa,Middle East & North Africa,1952,[1952],6.306,0.394738191,,5339.058949,,,,,,40.853,,,,,,,,,,,65022,2.803,,,,,,,,,,,,,,25.66666667
Dominica,America - Central,Central and South America,America,1952,[1952],,0.140222061,,4487.703174,,,,,,,,,,,,,,,,,52298,69.638,,,,,,,,,,,,,,7.333333333
Dominican Republic,America - Central,Central and South America,America,1952,[1952],7.589,,-9,2795.434275,,,,,,45.551,,,,,,,,,,,2531372,,,,,,,,165.9,,,,,,,
East Germany,Europe - Eastern,Europe,Europe & Central Asia,1952,[1952],,10.38471521,-8,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189548.3333
Ecuador,America - South,Central and South America,America,1952,[1952],6.706,0.250831463,2,7044.221435,,,,,,48.065,,,,,,,,,,,3566804,12.579,,,,,,,135.6,,,,,,,894.6666667
Egypt,Africa - Northern,Africa,Middle East & North Africa,1952,[1952],6.619,0.482342461,-7,2837.64489,,,,,,40.579,,,,,,,,,,,22607727,22.575,,,,,,,,,,,,,,10904.66667
El Salvador,America - Central,Central and South America,America,1952,[1952],6.265,0.170580584,-6,6096.605801,,,,,,44.627,,,,,,,,,,,2278493,108.288,,,,,,,141.8,,,,,,,388.6666667
Equatorial Guinea,Africa - Central,Africa,Sub-Saharan Africa,1952,[1952],5.502,0.047259182,,751.2862462,,,,,,34.333,,,,,,,,,,,232759,8.298,,,,,,,,,,,,,,11
Eritrea,Africa - Eastern,Africa,Middle East & North Africa,1952,[1952],6.962,,,657.8811142,,,,,,35.747,,,,,,,,,,,1185426,10.08,,,,,,,,,,,,,,
Eritrea and Ethiopia,Africa - Eastern,Africa,Middle East & North Africa,1952,[1952],,,,,,,,,,,,,,,,,,,,,22299701,,,,,,,,,,,,,,,
Estonia,Europe - Northern,Europe,Europe & Central Asia,1952,[1952],2.068,,-9,8057.970808,,,,,,65.085,,,,,,,,,,,1126280,24.973,,,,,,,,,,,,,,
Ethiopia,Africa - Eastern,Africa,Sub-Saharan Africa,1952,[1952],7.201,0.005169474,-9,724.2925592,,,,,,33.833,,,,,,,,,,,19150885,17.342,,,,,,,,,,,,,,99
Faeroe Islands,Europe - Northern,Europe,Europe & Central Asia,1952,[1952],,1.760056322,,,,,,,,,,,,,,,,,,,31249,22.337,,,,,,,,,,,,,,55
Falkland Islands (Malvinas),Europe - Northern,Europe,America,1952,[1952],,113.1991051,,,,,,,,,,,,,,,,,,,,0.184,,,,,,,,,,,,,,253
Fiji,Oceania,Oceania,East Asia & Pacific,1952,[1952],6.59,0.517265514,,3343.012818,,,78,,,51.947,,,,,,,,,,,304808,16.68,,,,,,,,,,,,,,157.6666667
Finland,Europe - Northern,Europe,Europe & Central Asia,1952,[1952],3.06,2.115782715,10,12849.03814,,,33,,,66.55,,,,,,3.38622,4.635422,2.250678,,,4095096,12.11,,,,,17.31728,,,,,,7.923275,,,8664.333333
France,Europe - Western,Europe,Europe & Central Asia,1952,[1952],2.756,5.367171177,10,15101.81735,,,41.3,,,67.41,,,,,,0.5889392,0.7449698,0.4544466,,,42328940,76.752,,,,,5.491698,,22.26,,,,9.060669,,,227186.6667
